Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Total Precipitation  [sfc];Wind speed  [10 m above gnd];Wind direction  [10 m above gnd]
2017;11;25;00;00;51.85;0.00;17.31;327.13
2017;11;25;01;00;49.14;0.00;20.53;330.64
2017;11;25;02;00;46.42;0.00;21.41;327.80
2017;11;25;03;00;44.13;0.00;21.79;324.19
2017;11;25;04;00;42.22;0.00;21.03;321.91
2017;11;25;05;00;40.75;0.00;19.62;316.85
2017;11;25;06;00;40.71;0.00;19.17;318.31
2017;11;25;07;00;39.22;0.00;18.51;313.53
2017;11;25;08;00;39.49;0.00;18.73;310.16
2017;11;25;09;00;40.73;0.00;19.80;311.79
2017;11;25;10;00;41.36;0.00;20.56;315.00
2017;11;25;11;00;41.81;0.00;19.95;317.73
2017;11;25;12;00;42.55;0.00;19.08;320.71
2017;11;25;13;00;43.27;0.00;18.17;322.00
2017;11;25;14;00;43.56;0.00;17.76;323.71
2017;11;25;15;00;43.20;0.00;17.14;324.03
2017;11;25;16;00;42.06;0.00;16.57;325.45
2017;11;25;17;00;40.44;0.00;16.50;327.17
2017;11;25;18;00;39.15;0.00;16.54;329.97
2017;11;25;19;00;37.76;0.00;16.41;334.13
2017;11;25;20;00;36.48;0.00;15.87;338.50
2017;11;25;21;00;35.28;0.00;14.44;343.81
2017;11;25;22;00;34.21;0.00;12.86;346.93
2017;11;25;23;00;33.22;0.00;10.80;346.83
2017;11;26;00;00;32.29;0.00;8.63;343.44
2017;11;26;01;00;31.73;0.00;7.00;333.43
2017;11;26;02;00;31.15;0.00;6.17;316.47
2017;11;26;03;00;30.76;0.00;5.50;296.57
2017;11;26;04;00;30.51;0.00;5.61;274.57
2017;11;26;05;00;30.24;0.00;6.51;254.05
2017;11;26;06;00;30.85;0.00;6.30;286.50
2017;11;26;07;00;30.47;0.00;7.16;270.00
2017;11;26;08;00;32.22;0.00;8.61;261.03
2017;11;26;09;00;35.02;0.00;10.47;250.02
2017;11;26;10;00;37.35;0.00;12.21;243.90
2017;11;26;11;00;40.26;0.00;13.35;238.71
2017;11;26;12;00;43.21;0.00;14.41;233.84
2017;11;26;13;00;45.90;0.00;15.62;231.98
2017;11;26;14;00;47.55;0.00;16.38;231.10
2017;11;26;15;00;48.07;0.00;16.53;230.49
2017;11;26;16;00;47.12;0.00;16.50;229.40
2017;11;26;17;00;45.30;0.00;16.50;229.40
2017;11;26;18;00;44.06;0.00;16.53;230.49
2017;11;26;19;00;42.84;0.00;16.07;235.20
2017;11;26;20;00;41.61;0.00;14.73;239.93
2017;11;26;21;00;41.61;0.00;12.91;244.32
2017;11;26;22;00;40.24;0.00;11.13;247.56
2017;11;26;23;00;38.80;0.00;9.62;252.41
2017;11;27;00;00;36.97;0.00;7.98;258.69
2017;11;27;01;00;35.82;0.00;6.27;267.95
2017;11;27;02;00;35.35;0.00;4.75;278.13
2017;11;27;03;00;35.55;0.00;2.83;288.43
2017;11;27;04;00;35.62;0.00;0.67;270.00
2017;11;27;05;00;35.65;0.00;1.92;144.46
2017;11;27;06;00;36.45;0.00;3.98;141.84
2017;11;27;07;00;36.21;0.00;6.14;146.89
2017;11;27;08;00;36.43;0.00;7.11;151.82
2017;11;27;09;00;40.44;0.00;8.00;153.43
2017;11;27;10;00;44.35;0.00;8.50;153.43
2017;11;27;11;00;48.13;0.00;9.61;152.24
2017;11;27;12;00;51.15;0.00;10.61;155.06
